areaname,Total Population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Median age,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Total Male Population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Male Median age,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Total Female Population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female Median age,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Total One Race Alone:,White,Black or African American,American Indian and Alaska Native,Asian Total:,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian [1],Native Hawaiian and Other Pacific Islander Total:,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander [2],Some Other Race,Two or More Races,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Total Hispanic or Latino:,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,Population in Households:,Householder,Spouse,Child:,Own child under 18 years,Other relatives:,Under 18 years,65 years and over,Nonrelatives,Unmarried partner,In group quarters:,Institutionalized,Noninstitutionalized,Total households,Family Households,Households with individuals under 18 years,Households with individuals 65 years and over,Average household size,With own children under 18 years,Husband-wife family,Husband-wife Families with own children under 18 years,"Male householder, no wife present","Male Householder, no wife present, with own children under 18 years","Female householder, no husband present","Female householder, no husband present, with own children under 18 years",Average family size [7],Nonfamily households,Householder living alone,Male Householder living alone,65+ Male Householder living alone,Female Householder living alone,65+ Female Householder living alone,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,Homeowner vacancy rate (percent),Rental vacancy rate (percent),Occupied housing units,Owner-occupied housing units,Population in owner-occupied housing units,Average household size of owner-occupied units,Renter-occupied housing units,Population in renter-occupied housing units,Average household size of renter-occupied units
"Androscoggin",107702,6886,6586,6616,7276,6966,6458,6502,6796,7647,8704,8323,7321,6437,4463,3393,2953,2209,2166,39.8,86293,83394,78792,18902,15184,52716,3486,3357,3426,3831,3390,3110,3163,3401,3796,4330,4145,3640,3160,2118,1622,1248,844,649,38.9,41741,40210,37845,8298,6481,54986,3400,3229,3190,3445,3576,3348,3339,3395,3851,4374,4178,3681,3277,2345,1771,1705,1365,1517,40.8,44552,43184,40947,10604,8703,105546,99939,3931,409,778,115,280,144,38,47,55,99,32,13,7,5,7,457,2156,101970,4790,1267,1186,84,677,1669,631,485,54,499,1008,73,26,5,3,356,198,104942,44315,20317,28335,22085,4088,1523,871,7887,4700,2760,736,2024,44315,28045,13363,11004,2.37,12244,20317,7237,2419,1511,5309,3496,2.88,16270,12535,5654,1328,6881,3351,49090,44315,4775,1477,47,625,138,1439,1049,2.1,8.5,44315,28544,71119,2.49,15771,33823,2.14
"Aroostook",71870,3497,3778,4203,4801,3826,3391,3518,3920,4699,5642,5917,5827,5200,4027,3190,2635,2087,1712,45.3,59535,57486,54758,16654,13651,35387,1810,1945,2113,2484,1997,1700,1756,1884,2376,2821,3003,2848,2648,1968,1497,1183,843,511,44.3,29090,28020,26598,7546,6002,36483,1687,1833,2090,2317,1829,1691,1762,2036,2323,2821,2914,2979,2552,2059,1693,1452,1244,1201,46.2,30445,29466,28160,9108,7649,70892,68759,455,1225,312,41,97,63,30,19,15,47,11,5,0,2,4,130,978,69692,654,1865,436,37,214,667,178,237,21,231,418,25,30,2,0,116,76,69865,30961,15342,17272,12959,2365,904,518,3925,2467,2005,780,1225,30961,19578,7897,9653,2.26,7192,15342,4703,1340,754,2896,1735,2.79,11383,9525,4306,1260,5219,2988,39529,30961,8568,849,47,622,142,5399,1509,2.7,8.6,30961,22037,53130,2.41,8924,16735,1.88
"Cumberland",281674,14755,16217,17172,18599,17608,17512,16646,18255,20651,23234,22861,20679,17328,12028,8557,7160,5976,6436,41,230052,222780,211348,50087,40157,136684,7579,8397,8751,9530,8766,8814,8307,8949,10102,11405,11026,9877,8463,5652,3876,3017,2252,1921,39.6,110163,106442,100667,21640,16718,144990,7176,7820,8421,9069,8842,8698,8339,9306,10549,11829,11835,10802,8865,6376,4681,4143,3724,4515,42.3,119889,116338,110681,28447,23439,276491,261396,6781,901,5769,978,1148,476,177,442,1022,1526,87,21,19,27,20,1557,5183,266172,8594,2501,7527,280,2194,5045,1248,1020,278,2499,2928,204,82,64,7,1228,532,272484,117339,54885,70489,54688,9131,2872,2019,20640,10338,9190,3057,6133,117339,70778,33198,28919,2.32,31035,54885,21678,4537,2509,11356,6848,2.9,46561,34831,14215,3295,20616,9425,138657,117339,21318,2738,189,1351,374,14676,1990,1.7,6.6,117339,78545,195532,2.49,38794,76952,1.98
"Franklin",30768,1509,1575,1787,2369,2379,1511,1434,1592,1875,2425,2647,2419,2086,1687,1234,967,674,598,43.4,25540,24721,22933,6386,5160,15053,795,808,953,1116,1123,749,686,792,885,1187,1308,1188,1050,840,613,469,298,193,42.9,12310,11907,11145,3057,2413,15715,714,767,834,1253,1256,762,748,800,990,1238,1339,1231,1036,847,621,498,376,405,43.8,13230,12814,11788,3329,2747,30331,29952,71,116,132,12,58,10,13,11,1,27,10,3,1,0,6,50,437,30381,143,375,209,21,100,315,111,72,12,120,221,1,3,3,0,35,52,29658,13000,6324,6995,5405,1001,413,192,2338,1258,1110,108,1002,13000,8129,3405,3729,2.28,3089,6324,1953,583,356,1222,780,2.76,4871,3753,1798,502,1955,972,21709,13000,8709,526,44,320,92,7183,544,3.1,14,13000,9815,23163,2.36,3185,6495,2.04
"Hancock",54418,2603,2659,2792,3289,2992,2653,2642,3035,3466,4355,4756,4791,4448,3245,2218,1796,1403,1275,46.3,45757,44441,42396,12538,9937,26641,1291,1362,1429,1799,1608,1345,1288,1469,1663,2111,2318,2338,2171,1587,1044,826,581,411,45.2,22247,21568,20345,5743,4449,27777,1312,1297,1363,1490,1384,1308,1354,1566,1803,2244,2438,2453,2277,1658,1174,970,822,864,47.4,23510,22873,22051,6795,5488,53785,52741,221,220,446,49,159,59,38,47,36,58,7,2,1,1,3,150,633,53349,374,559,581,24,208,594,215,119,20,240,388,15,21,1,1,104,64,53242,24221,11849,11906,9091,1606,612,336,3660,2260,1176,318,858,24221,14834,5908,7195,2.2,5402,11849,3578,997,647,1988,1177,2.71,9387,7351,3191,905,4160,2101,40184,24221,15963,838,85,681,74,13134,1151,3.6,11.8,24221,18019,41043,2.28,6202,12199,1.97
"Kennebec",122151,6334,6847,7303,8098,7211,6656,6635,7330,8527,9999,10517,9506,8228,5802,4217,3519,2755,2667,42.8,100130,96843,91916,23712,18960,59529,3260,3455,3732,4150,3602,3242,3289,3563,4162,4850,5140,4662,4104,2795,1959,1599,1075,890,41.9,48271,46594,44105,10710,8318,62622,3074,3392,3571,3948,3609,3414,3346,3767,4365,5149,5377,4844,4124,3007,2258,1920,1680,1777,43.7,51859,50249,47811,13002,10642,120083,117501,687,586,892,217,222,104,41,74,71,163,45,20,2,7,16,372,2068,119479,1257,1648,1302,106,560,1504,477,466,58,503,952,45,27,6,1,279,194,118515,51128,24517,30267,22910,4171,1587,839,8432,5177,3636,1308,2328,51128,32368,14400,13367,2.32,13112,24517,8363,2421,1424,5430,3325,2.82,18760,14744,6344,1538,8400,4009,60972,51128,9844,1382,64,724,140,6188,1346,1.9,8.6,51128,36451,88764,2.44,14677,29751,2.03
"Knox",39736,1921,2097,2297,2135,1763,1958,2067,2375,2574,3033,3388,3409,3125,2293,1690,1296,1169,1146,46.2,32978,32026,30981,9430,7594,19663,1005,1106,1133,1114,931,1041,1103,1251,1300,1520,1625,1637,1547,1120,761,579,494,396,44.5,16196,15689,15150,4264,3350,20073,916,991,1164,1021,832,917,964,1124,1274,1513,1763,1772,1578,1173,929,717,675,750,47.9,16782,16337,15831,5166,4244,39183,38579,197,141,184,15,57,26,27,20,14,25,5,0,0,3,2,77,553,39120,316,482,275,19,118,337,107,69,21,140,242,5,5,0,0,54,31,38375,17258,8312,9078,7024,1262,491,243,2465,1554,1361,1183,178,17258,10662,4387,5536,2.22,3995,8312,2576,731,483,1619,936,2.75,6596,5352,2221,667,3131,1701,23744,17258,6486,502,61,372,77,4828,646,2.8,10,17258,12789,29502,2.31,4469,8873,1.99
"Lincoln",34457,1605,1690,1916,1896,1430,1493,1564,1916,2109,2614,2912,2959,2960,2432,1590,1330,1010,1031,48.1,28849,27989,27073,9201,7393,16899,830,931,1000,1041,742,752,762,951,1036,1303,1355,1407,1429,1165,766,636,441,352,46.6,13926,13454,12943,4252,3360,17558,775,759,916,855,688,741,802,965,1073,1311,1557,1552,1531,1267,824,694,569,679,49.6,14923,14535,14130,4949,4033,34085,33636,109,114,186,20,25,67,14,15,18,27,1,0,1,0,0,39,372,34002,191,336,262,17,59,287,103,62,7,115,199,13,7,1,1,25,41,33959,15149,7816,7819,5815,1085,445,239,2090,1323,498,373,125,15149,9749,3744,5206,2.24,3370,7816,2223,603,362,1330,785,2.72,5400,4372,1849,609,2523,1435,23493,15149,8344,477,41,446,57,6733,590,3.5,14,15149,12267,28041,2.29,2882,5918,2.05
"Oxford",57833,2967,3167,3600,3988,2692,2793,2994,3202,3872,4934,5132,4659,3990,3038,2268,1903,1354,1280,44.6,47272,45516,43514,12142,9843,28692,1556,1649,1835,2137,1389,1334,1509,1546,1895,2464,2469,2364,2073,1513,1077,884,562,436,43.7,23225,22295,21183,5671,4472,29141,1411,1518,1765,1851,1303,1459,1485,1656,1977,2470,2663,2295,1917,1525,1191,1019,792,844,45.3,24047,23221,22331,6471,5371,56943,55990,212,211,359,19,142,40,22,63,28,45,14,7,3,1,3,157,890,56850,397,726,512,49,229,587,186,172,26,203,406,10,8,4,0,95,64,56984,24300,11905,14357,10773,2252,914,450,4170,2550,849,416,433,24300,15781,6827,6985,2.35,6150,11905,3788,1357,833,2519,1529,2.81,8519,6585,3162,867,3423,1855,36055,24300,11755,845,48,558,116,9113,1075,2.9,12.9,24300,18649,44743,2.4,5651,12241,2.17
"Penobscot",153923,7983,8304,8434,11942,14014,9407,8224,8921,9986,11818,12341,11010,9286,6574,5122,4279,3359,2919,39.9,127421,123568,113788,27504,22253,75853,4134,4263,4331,6160,7367,4761,4100,4350,4889,5725,6053,5427,4577,3185,2337,1904,1335,955,38.4,62221,60233,55175,12335,9716,78070,3849,4041,4103,5782,6647,4646,4124,4571,5097,6093,6288,5583,4709,3389,2785,2375,2024,1964,41.3,65200,63335,58613,15169,12537,151574,146802,1159,1809,1422,220,492,143,76,164,117,210,44,19,6,11,8,338,2349,149041,1790,3100,1875,106,500,1620,489,468,89,574,1102,42,35,17,3,250,171,146605,62966,29646,36139,27533,5113,1828,1029,12741,6225,7318,1577,5741,62966,38917,17331,15840,2.33,15886,29646,10332,2800,1639,6471,3915,2.82,24049,17621,7805,1891,9816,4752,73860,62966,10894,1533,89,898,188,6199,1987,2,7.1,62966,42981,106033,2.47,19985,40572,2.03
